x_g,y_g,z_g,x_e,y_e,z_e,quat_g_w,quat_g_x,quat_g_y,quat_g_z,quat_e_w,quat_e_x,quat_e_y,quat_e_z,joint_1,joint_2,joint_3,joint_4,waypoint_idx,progress
0.4303933084011078,0.07470303773880005,-0.19593901932239532,0.4312277138233185,0.08408737182617188,-0.18579044938087463,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.033951759338379,-16.717065811157227,103.36697387695312,-0.5758259296417236,1112,0.9908869255895844
0.4303740859031677,0.07471754401922226,-0.19613739848136902,0.4308490455150604,0.08401350677013397,-0.18569844961166382,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.033951759338379,-16.717065811157227,103.45787048339844,-0.5758259296417236,1113,0.9913321006555921
0.43035486340522766,0.07473205775022507,-0.19633594155311584,0.43091168999671936,0.08369194716215134,-0.1856985092163086,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,10.991181373596191,-16.717052459716797,103.45787048339844,-0.5758259296417236,1113,0.9917776444971487
0.4303356111049652,0.07474657893180847,-0.19653446972370148,0.431175172328949,0.0837431326508522,-0.18659543991088867,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,10.991181373596191,-16.602428436279297,103.45787048339844,-0.5758259296417236,1114,0.9922231561703562
0.43031638860702515,0.07476110011339188,-0.1967329978942871,0.430923193693161,0.08503011614084244,-0.18659548461437225,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.162250518798828,-16.602428436279297,103.45787048339844,-0.5758259296417236,1114,0.9926686670417175
0.4302971661090851,0.07477562129497528,-0.19693154096603394,0.430923193693161,0.08503011614084244,-0.18659548461437225,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.162250518798828,-16.602428436279297,103.45787048339844,-0.5758259296417236,1115,0.9931142117298566
0.430277943611145,0.07479014247655869,-0.19713011384010315,0.4297347962856293,0.0874648466706276,-0.18643009662628174,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.504387855529785,-16.602441787719727,103.6197738647461,-0.5758259296417236,1115,0.9935598067641208
0.43025872111320496,0.07480465620756149,-0.19732865691184998,0.4297347962856293,0.0874648466706276,-0.18643009662628174,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.504387855529785,-16.602441787719727,103.6197738647461,-0.5758259296417236,1116,0.9940053366155909
0.4302394986152649,0.0748191773891449,-0.1975271999835968,0.43025532364845276,0.08623374998569489,-0.18732768297195435,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.333319664001465,-16.487789154052734,103.61980438232422,-0.5758259296417236,1116,0.9944509134717547
0.43022027611732483,0.0748336911201477,-0.19772572815418243,0.4302554726600647,0.08623376488685608,-0.18732771277427673,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.333319664001465,-16.487789154052734,103.6197738647461,-0.5758259296417236,1117,0.9948964301351467
0.4302010238170624,0.07484821230173111,-0.19792427122592926,0.4307001531124115,0.08398453146219254,-0.18732771277427673,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.033951759338379,-16.487789154052734,103.6197738647461,-0.5758259296417236,1117,0.9953419525459953
0.4301818013191223,0.07486273348331451,-0.19812282919883728,0.4307001531124115,0.08398453146219254,-0.18732771277427673,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.033951759338379,-16.487789154052734,103.6197738647461,-0.5758259296417236,1118,0.9957875112686329
0.43016257882118225,0.07487725466489792,-0.1983213871717453,0.4307001531124115,0.08398453146219254,-0.18732771277427673,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.033951759338379,-16.487789154052734,103.6197738647461,-0.5758259296417236,1118,0.9962330988622756
0.4301433563232422,0.07489176839590073,-0.19851990044116974,0.4301319420337677,0.08487401157617569,-0.1872337907552719,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.162250518798828,-16.487789154052734,103.71089172363281,-0.5758259296417236,1119,0.9966785758724472
0.43012410402297974,0.07490628957748413,-0.19871844351291656,0.4298766851425171,0.08615785092115402,-0.1872338056564331,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.333319664001465,-16.487789154052734,103.71089172363281,-0.5758259296417236,1119,0.9971241205604241
0.4301048815250397,0.07492081820964813,-0.19891712069511414,0.42958319187164307,0.08743401616811752,-0.1880587637424469,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.504387855529785,-16.373125076293945,103.78165435791016,-0.5758259296417236,1120,0.9975699556976518
0.4300856590270996,0.07493533194065094,-0.1991155743598938,0.42958319187164307,0.08743401616811752,-0.1880587637424469,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.504387855529785,-16.373125076293945,103.78165435791016,-0.5758259296417236,1120,0.998015276812337
0.43006643652915955,0.07494984567165375,-0.19931408762931824,0.43022382259368896,0.08422501385211945,-0.1880587339401245,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.076723098754883,-16.373125076293945,103.78165435791016,-0.5758259296417236,1121,0.998460782693676
0.4300472140312195,0.07496436685323715,-0.19951264560222626,0.42978179454803467,0.08447173237800598,-0.18796372413635254,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.11948013305664,-16.373125076293945,103.87284851074219,-0.5758259296417236,1121,0.998906355450812
0.4300279915332794,0.07497888058423996,-0.1997111737728119,0.4301029145717621,0.08420133590698242,-0.1888624131679535,1.0,0.0,0.0,0.0,0.9999873638153076,0.0,-0.005025008227676153,0.0,11.076723098754883,-16.258472442626953,103.87284851074219,-0.5758259296417236,1122,0.9993518564311147
0.43000873923301697,0.07499340176582336,-0.1999097317457199,0.42994850873947144,0.08350487798452377,-0.1889272928237915,1.0,0.0,0.0,0.0,0.9999918937683105,0.0,-0.004020084161311388,0.0,10.991181373596191,-16.258472442626953,103.87284851074219,-0.4606689512729645,1122,0.9997974283418303
