trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,prm,real,7.211266756057739,22.810230493545532,17.810157537460327,2282,2282,0.5257867574691772,1.2469171224822428,0.03643983229994774,0.012565613830605756,2.3715262980074954,1.0,1.0,True,200.0,True,2026-01-31T19:57:22,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,prm,real,7.141922950744629,24.510233402252197,18.370168924331665,2452,2452,0.5354568958282471,2.32888772592416,0.4785296320915222,0.011939475972579145,4.349346780419787,1.0,1.0,True,200.0,True,2026-01-31T19:58:04,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,prm,real,6.975870609283447,23.820197105407715,18.81015658378601,2383,2383,0.5597406029701233,1.234099315114559,0.04078049212694168,0.013269881864100424,2.2047700462787945,1.0,1.0,True,200.0,True,2026-01-31T19:58:45,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,prm,real,6.936197757720947,24.320230960845947,18.72016191482544,2433,2433,0.5526435375213623,1.5485784550821515,0.05222589150071144,0.011965422460300626,2.802128949209492,1.0,1.0,True,200.0,True,2026-01-31T19:59:26,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,prm,real,7.192608833312988,21.640281677246094,16.64016366004944,2165,2165,0.4947510361671448,1.660781083842128,0.24987609684467316,0.011763937057342216,3.3568016283669917,1.0,1.0,True,200.0,True,2026-01-31T20:00:05,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,prm,real,6.981713771820068,28.81040334701538,17.79050374031067,2882,2882,0.5335800051689148,3.1087729516701543,0.490790456533432,0.012244767123820534,5.826254585169498,1.0,1.0,True,200.0,True,2026-01-31T20:00:51,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,prm,real,6.9382164478302,23.850253105163574,18.80015754699707,2386,2386,0.5563276410102844,2.220916268786585,0.5526911020278931,0.01098155089316785,3.9921012458655247,1.0,1.0,True,200.0,True,2026-01-31T20:01:32,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,prm,real,7.096702337265015,23.670242071151733,18.660181045532227,2368,2368,0.5546969175338745,1.265646325304246,0.03899257630109787,0.012410932561874073,2.2816898477301435,1.0,1.0,True,200.0,True,2026-01-31T20:02:13,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,prm,real,7.061148643493652,21.110249519348145,16.110145568847656,2112,2112,0.47899994254112244,1.8815082665989138,0.35245954990386963,0.011284133889575693,3.9279926770291524,1.0,1.0,True,200.0,True,2026-01-31T20:02:51,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
